locus_tag	ftype	length_bp	gene	EC_number	COG	product
LLGMAHPF_00723	CDS	105				hypothetical protein
LLGMAHPF_00724	CDS	150				hypothetical protein
LLGMAHPF_00725	CDS	195				hypothetical protein
LLGMAHPF_00726	CDS	258				hypothetical protein
LLGMAHPF_00727	CDS	2409	rtpR	1.17.4.2		Adenosylcobalamin-dependent ribonucleoside-triphosphate reductase
LLGMAHPF_00728	CDS	696	tam_1	2.1.1.144		Trans-aconitate 2-methyltransferase
LLGMAHPF_00729	CDS	1638	prfC			Peptide chain release factor 3
LLGMAHPF_00730	CDS	675				hypothetical protein
LLGMAHPF_00731	CDS	903	hslO		COG1281	33 kDa chaperonin
LLGMAHPF_00732	CDS	648	ecfA2	3.6.3.-	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA2
LLGMAHPF_00733	CDS	444				hypothetical protein
LLGMAHPF_00734	CDS	774	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
LLGMAHPF_00735	CDS	744				hypothetical protein
LLGMAHPF_00736	CDS	645				hypothetical protein
LLGMAHPF_00737	CDS	1503				hypothetical protein
LLGMAHPF_00738	CDS	738	ftsE		COG2884	Cell division ATP-binding protein FtsE
LLGMAHPF_00739	CDS	906	phnD1		COG3221	putative ABC transporter phosphite binding protein PhnD1
LLGMAHPF_00740	CDS	1182	aspC	2.6.1.1		Aspartate aminotransferase
LLGMAHPF_00741	CDS	504	udg	3.2.2.27	COG1573	Type-4 uracil-DNA glycosylase
LLGMAHPF_00742	CDS	1218	ispG	1.17.7.1	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin)
LLGMAHPF_00743	CDS	1290	ctpA	3.4.21.102	COG0793	Carboxy-terminal processing protease CtpA
LLGMAHPF_00744	CDS	915	nadA	2.5.1.72	COG0379	Quinolinate synthase A
LLGMAHPF_00745	CDS	870				hypothetical protein
LLGMAHPF_00746	CDS	798				hypothetical protein
LLGMAHPF_00747	CDS	1191				hypothetical protein
LLGMAHPF_00748	CDS	1092	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
LLGMAHPF_00749	CDS	1191	purK	6.3.4.18		N5-carboxyaminoimidazole ribonucleotide synthase
LLGMAHPF_00750	CDS	354				hypothetical protein
LLGMAHPF_00751	CDS	138				hypothetical protein
LLGMAHPF_00752	CDS	183				hypothetical protein
LLGMAHPF_00753	CDS	132				hypothetical protein
LLGMAHPF_00754	CDS	144				hypothetical protein
LLGMAHPF_00755	CDS	240				hypothetical protein
LLGMAHPF_00756	CDS	156				hypothetical protein
LLGMAHPF_00757	CDS	210				hypothetical protein
LLGMAHPF_00758	CDS	390				hypothetical protein
LLGMAHPF_00759	CDS	174				hypothetical protein
LLGMAHPF_00760	CDS	210				hypothetical protein
LLGMAHPF_00761	CDS	183				hypothetical protein
LLGMAHPF_00762	CDS	255				hypothetical protein
LLGMAHPF_00763	CDS	135				hypothetical protein
LLGMAHPF_00764	CDS	120				hypothetical protein
LLGMAHPF_00765	CDS	162				hypothetical protein
LLGMAHPF_00766	CDS	207				hypothetical protein
LLGMAHPF_00767	CDS	216				hypothetical protein
LLGMAHPF_00768	CDS	192				hypothetical protein
LLGMAHPF_00769	CDS	204				hypothetical protein
LLGMAHPF_00770	CDS	264				hypothetical protein
LLGMAHPF_00771	CDS	666				hypothetical protein
LLGMAHPF_00772	CDS	729				hypothetical protein
LLGMAHPF_00773	CDS	102				hypothetical protein
LLGMAHPF_00774	CDS	255				hypothetical protein
LLGMAHPF_00775	CDS	228				hypothetical protein
LLGMAHPF_00776	CDS	156				hypothetical protein
LLGMAHPF_00777	CDS	141				hypothetical protein
LLGMAHPF_00778	CDS	237				hypothetical protein
LLGMAHPF_00779	CDS	243				hypothetical protein
LLGMAHPF_00780	CDS	192				hypothetical protein
LLGMAHPF_00781	CDS	312				hypothetical protein
LLGMAHPF_00782	CDS	387				hypothetical protein
LLGMAHPF_00783	CDS	90				hypothetical protein
LLGMAHPF_00784	CDS	138				hypothetical protein
LLGMAHPF_00785	CDS	354				hypothetical protein
LLGMAHPF_00786	CDS	1056	kefB			Glutathione-regulated potassium-efflux system protein KefB
LLGMAHPF_00787	CDS	744	sphR		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein SphR
LLGMAHPF_00788	CDS	1149	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
LLGMAHPF_00789	CDS	327				hypothetical protein
LLGMAHPF_00790	CDS	2283				hypothetical protein
LLGMAHPF_00791	CDS	1359				hypothetical protein
LLGMAHPF_00792	CDS	972	pstS		COG0226	Phosphate-binding protein PstS
LLGMAHPF_00793	CDS	1227	srpC		COG2059	putative chromate transport protein
LLGMAHPF_00794	CDS	1260				hypothetical protein
LLGMAHPF_00795	CDS	1023	gap3	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase 3
LLGMAHPF_00796	CDS	372				hypothetical protein
LLGMAHPF_00797	CDS	207				hypothetical protein
LLGMAHPF_00798	CDS	168				hypothetical protein
LLGMAHPF_00799	CDS	1011	acr3		COG0798	Arsenical-resistance protein Acr3
LLGMAHPF_00800	CDS	231				hypothetical protein
LLGMAHPF_00801	CDS	537				hypothetical protein
LLGMAHPF_00802	CDS	306				hypothetical protein
LLGMAHPF_00803	CDS	183				hypothetical protein
LLGMAHPF_00804	CDS	276				hypothetical protein
LLGMAHPF_00805	CDS	339				hypothetical protein
LLGMAHPF_00806	CDS	234				hypothetical protein
LLGMAHPF_00807	CDS	948	pstC		COG0573	Phosphate transport system permease protein PstC
LLGMAHPF_00808	CDS	894	pstA		COG0581	Phosphate transport system permease protein PstA
LLGMAHPF_00809	CDS	810	pstB3	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
LLGMAHPF_00810	CDS	123				hypothetical protein
LLGMAHPF_00811	CDS	150				hypothetical protein
LLGMAHPF_00812	CDS	309				hypothetical protein
LLGMAHPF_00813	CDS	645				hypothetical protein
LLGMAHPF_00814	CDS	2478	cshB	3.6.4.13		DEAD-box ATP-dependent RNA helicase CshB
LLGMAHPF_00815	CDS	1638	lig_1	6.5.1.1		DNA ligase
LLGMAHPF_00816	CDS	993				hypothetical protein
LLGMAHPF_00817	CDS	411				hypothetical protein
LLGMAHPF_00818	CDS	288				hypothetical protein
LLGMAHPF_00819	CDS	1317				hypothetical protein
LLGMAHPF_00820	CDS	366				hypothetical protein
LLGMAHPF_00821	CDS	204				hypothetical protein
LLGMAHPF_00822	CDS	231				hypothetical protein
LLGMAHPF_00823	CDS	207				hypothetical protein
LLGMAHPF_00824	CDS	186				hypothetical protein
LLGMAHPF_00825	CDS	183				hypothetical protein
LLGMAHPF_00826	CDS	126				hypothetical protein
LLGMAHPF_00827	CDS	351				hypothetical protein
LLGMAHPF_00828	CDS	177				hypothetical protein
LLGMAHPF_00829	CDS	438				hypothetical protein
LLGMAHPF_00830	CDS	270				hypothetical protein
LLGMAHPF_00831	CDS	207				hypothetical protein
LLGMAHPF_00832	CDS	279				hypothetical protein
LLGMAHPF_00833	CDS	105	petN			Cytochrome b6-f complex subunit 8
LLGMAHPF_00834	CDS	654	thf1			Protein Thf1
LLGMAHPF_00835	CDS	591	clpP_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
LLGMAHPF_00836	CDS	1914	ftsH2_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH 2
LLGMAHPF_00837	CDS	216				hypothetical protein
LLGMAHPF_00838	CDS	1230				hypothetical protein
LLGMAHPF_00839	CDS	1251		3.4.24.-	COG0612	putative zinc protease
LLGMAHPF_00840	CDS	723	pcyA	1.3.7.5		Phycocyanobilin:ferredoxin oxidoreductase
LLGMAHPF_00841	CDS	915				hypothetical protein
LLGMAHPF_00842	CDS	1176				hypothetical protein
LLGMAHPF_00843	CDS	723			COG1136	putative ABC transporter ATP-binding protein
LLGMAHPF_00844	CDS	150				hypothetical protein
LLGMAHPF_00845	CDS	918	kfoC			Chondroitin synthase
LLGMAHPF_00846	CDS	705	rpsB		COG0052	30S ribosomal protein S2
LLGMAHPF_00847	CDS	657	tsf			Elongation factor Ts
LLGMAHPF_00848	CDS	1074				hypothetical protein
LLGMAHPF_00849	CDS	2457	recG	3.6.4.12		ATP-dependent DNA helicase RecG
LLGMAHPF_00850	CDS	687	ddpX	3.4.13.22		D-alanyl-D-alanine dipeptidase
LLGMAHPF_00851	CDS	1791	sir	1.8.7.1		Sulfite reductase [ferredoxin]
LLGMAHPF_00852	CDS	2163	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
LLGMAHPF_00853	CDS	1332	kmo	1.14.13.9		Kynurenine 3-monooxygenase
LLGMAHPF_00854	CDS	732	yodJ	3.4.-.-	COG1876	Putative carboxypeptidase YodJ
LLGMAHPF_00855	CDS	1803	typA		COG1217	GTP-binding protein TypA/BipA 
LLGMAHPF_00856	CDS	384				hypothetical protein
LLGMAHPF_00857	CDS	729	lptB	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
LLGMAHPF_00858	CDS	945	ccsA			Cytochrome c biogenesis protein CcsA
LLGMAHPF_00859	CDS	756	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
LLGMAHPF_00860	CDS	1002		3.1.3.11	COG1494	D-fructose 1,6-bisphosphatase class 2/sedoheptulose 1,7-bisphosphatase
LLGMAHPF_00861	CDS	1302	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
LLGMAHPF_00862	CDS	1296	glgC	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
LLGMAHPF_00863	CDS	1419	gnd	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, decarboxylating
LLGMAHPF_00864	CDS	729	pgl	3.1.1.31	COG0363	6-phosphogluconolactonase
LLGMAHPF_00865	CDS	549				hypothetical protein
LLGMAHPF_00866	CDS	387				hypothetical protein
LLGMAHPF_00867	CDS	1680	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
LLGMAHPF_00868	CDS	291				hypothetical protein
LLGMAHPF_00869	CDS	645	upp	2.4.2.9	COG0035	Uracil phosphoribosyltransferase
LLGMAHPF_00870	CDS	513				hypothetical protein
LLGMAHPF_00871	CDS	1056	yciC_2		COG0523	Putative metal chaperone YciC
LLGMAHPF_00872	CDS	168				hypothetical protein
LLGMAHPF_00873	CDS	252	purS	6.3.5.3	COG1828	Phosphoribosylformylglycinamidine synthase subunit PurS
LLGMAHPF_00874	CDS	666	purQ	6.3.5.3	COG0047	Phosphoribosylformylglycinamidine synthase subunit PurQ
LLGMAHPF_00875	CDS	1074	fbaA	4.1.2.13		Fructose-bisphosphate aldolase class 2
LLGMAHPF_00876	CDS	1104	ntdC	1.1.1.361	COG0673	Glucose-6-phosphate 3-dehydrogenase
LLGMAHPF_00877	CDS	390				hypothetical protein
LLGMAHPF_00878	CDS	879	accD	2.1.3.15		Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
LLGMAHPF_00879	CDS	900	cfxP	2.7.1.19	COG3954	Phosphoribulokinase, plasmid
LLGMAHPF_00880	CDS	1074	leuB	1.1.1.85		3-isopropylmalate dehydrogenase
LLGMAHPF_00881	CDS	1035	lpxD	2.3.1.-		UDP-3-O-acylglucosamine N-acyltransferase
LLGMAHPF_00882	CDS	1083	proB	2.7.2.11	COG0263	Glutamate 5-kinase
LLGMAHPF_00883	CDS	495				hypothetical protein
LLGMAHPF_00884	CDS	537				hypothetical protein
LLGMAHPF_00885	CDS	456	yqgF	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
LLGMAHPF_00886	CDS	1056				hypothetical protein
LLGMAHPF_00887	CDS	1161				hypothetical protein
LLGMAHPF_00888	CDS	543				hypothetical protein
LLGMAHPF_00889	CDS	1623				hypothetical protein
LLGMAHPF_00890	CDS	768	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
LLGMAHPF_00891	CDS	906				hypothetical protein
LLGMAHPF_00892	CDS	543	pgsA	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
LLGMAHPF_00893	CDS	612				hypothetical protein
LLGMAHPF_00894	CDS	189				hypothetical protein
LLGMAHPF_00895	CDS	660				hypothetical protein
LLGMAHPF_00896	CDS	654	nth	4.2.99.18	COG0177	Endonuclease III
LLGMAHPF_00897	CDS	1059	fbpC2	7.2.2.7	COG3842	Fe(3+) ions import ATP-binding protein FbpC 2
LLGMAHPF_00898	CDS	156				hypothetical protein
LLGMAHPF_00899	CDS	549	ftnA	1.16.3.2		Bacterial non-heme ferritin
LLGMAHPF_00900	CDS	291				hypothetical protein
LLGMAHPF_00901	CDS	597				hypothetical protein
LLGMAHPF_00902	CDS	231				hypothetical protein
LLGMAHPF_00903	CDS	807	ylmA	3.6.3.-	COG1119	putative ABC transporter ATP-binding protein YlmA
LLGMAHPF_00904	CDS	1323		1.14.13.239		Carnitine monooxygenase oxygenase subunit
LLGMAHPF_00905	CDS	345				hypothetical protein
LLGMAHPF_00906	CDS	183				hypothetical protein
LLGMAHPF_00907	CDS	153				hypothetical protein
LLGMAHPF_00908	CDS	297				hypothetical protein
LLGMAHPF_00909	CDS	180				hypothetical protein
LLGMAHPF_00910	CDS	159				hypothetical protein
LLGMAHPF_00911	CDS	369				hypothetical protein
LLGMAHPF_00912	CDS	366				hypothetical protein
LLGMAHPF_00913	CDS	363				hypothetical protein
LLGMAHPF_00914	CDS	246				hypothetical protein
LLGMAHPF_00915	CDS	195				hypothetical protein
LLGMAHPF_00916	CDS	159				hypothetical protein
LLGMAHPF_00917	CDS	180				hypothetical protein
LLGMAHPF_00918	CDS	129				hypothetical protein
LLGMAHPF_00919	CDS	261				hypothetical protein
LLGMAHPF_00920	CDS	210				hypothetical protein
LLGMAHPF_00921	CDS	108				hypothetical protein
LLGMAHPF_00922	CDS	159				hypothetical protein
LLGMAHPF_00923	CDS	141				hypothetical protein
LLGMAHPF_00924	CDS	300				hypothetical protein
LLGMAHPF_00925	CDS	276				hypothetical protein
LLGMAHPF_00926	tRNA	77				tRNA-Met(cat)
LLGMAHPF_00927	CDS	966				hypothetical protein
LLGMAHPF_00928	CDS	495				hypothetical protein
LLGMAHPF_00929	CDS	321	rsfS			Ribosomal silencing factor RsfS
LLGMAHPF_00930	CDS	639				hypothetical protein
LLGMAHPF_00931	CDS	3300	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
LLGMAHPF_00932	CDS	219				hypothetical protein
LLGMAHPF_00933	CDS	1707		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
LLGMAHPF_00934	CDS	177				hypothetical protein
LLGMAHPF_00935	CDS	687	tpiA	5.3.1.1		Triosephosphate isomerase
LLGMAHPF_00936	tRNA	97				tRNA-Trp(cca)
LLGMAHPF_00937	CDS	4008	cobN_1	6.6.1.2		Aerobic cobaltochelatase subunit CobN
LLGMAHPF_00938	CDS	849	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
LLGMAHPF_00939	CDS	645				hypothetical protein
LLGMAHPF_00940	CDS	1155	ubiF	1.14.99.60	COG0654	3-demethoxyubiquinol 3-hydroxylase
LLGMAHPF_00941	CDS	195				hypothetical protein
LLGMAHPF_00942	CDS	531				hypothetical protein
LLGMAHPF_00943	CDS	621				hypothetical protein
LLGMAHPF_00944	CDS	369				hypothetical protein
LLGMAHPF_00945	CDS	162				hypothetical protein
LLGMAHPF_00946	CDS	3516	mfd	3.6.4.-		Transcription-repair-coupling factor
LLGMAHPF_00947	CDS	711				hypothetical protein
LLGMAHPF_00948	CDS	987	fmt	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
LLGMAHPF_00949	CDS	1353	pmbA	3.4.-.-	COG0312	Metalloprotease PmbA
LLGMAHPF_00950	CDS	1425	tldD	3.4.-.-	COG0312	Metalloprotease TldD
LLGMAHPF_00951	CDS	1173				hypothetical protein
LLGMAHPF_00952	CDS	552				hypothetical protein
LLGMAHPF_00953	CDS	456				hypothetical protein
LLGMAHPF_00954	CDS	2220	rnr_1	3.1.13.1	COG0557	Ribonuclease R
LLGMAHPF_00955	CDS	300				hypothetical protein
LLGMAHPF_00956	CDS	327				hypothetical protein
LLGMAHPF_00957	CDS	348				hypothetical protein
LLGMAHPF_00958	CDS	750	ppaX	3.6.1.1		Pyrophosphatase PpaX
LLGMAHPF_00959	CDS	327				hypothetical protein
LLGMAHPF_00960	CDS	177				hypothetical protein
LLGMAHPF_00961	CDS	1755	ftsH2_2	3.4.24.-		ATP-dependent zinc metalloprotease FtsH 2
LLGMAHPF_00962	CDS	774				hypothetical protein
LLGMAHPF_00963	CDS	585	ahpC	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
LLGMAHPF_00964	CDS	159				hypothetical protein
LLGMAHPF_00965	CDS	219				hypothetical protein
LLGMAHPF_00966	CDS	171				hypothetical protein
LLGMAHPF_00967	CDS	168				hypothetical protein
LLGMAHPF_00968	CDS	156				hypothetical protein
LLGMAHPF_00969	CDS	159				hypothetical protein
LLGMAHPF_00970	CDS	153				hypothetical protein
LLGMAHPF_00971	CDS	369				hypothetical protein
LLGMAHPF_00972	CDS	117				hypothetical protein
LLGMAHPF_00973	CDS	141				hypothetical protein
LLGMAHPF_00974	CDS	237				hypothetical protein
LLGMAHPF_00975	CDS	150				hypothetical protein
LLGMAHPF_00976	CDS	165				hypothetical protein
LLGMAHPF_00977	CDS	186				hypothetical protein
LLGMAHPF_00978	tRNA	74				tRNA-Thr(cgt)
LLGMAHPF_00979	CDS	249				hypothetical protein
LLGMAHPF_00980	CDS	240				hypothetical protein
LLGMAHPF_00981	CDS	144				hypothetical protein
LLGMAHPF_00982	tRNA	74				tRNA-Met(cat)
LLGMAHPF_00983	CDS	483	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
LLGMAHPF_00984	CDS	549	cobU	2.7.1.156	COG2087	Bifunctional adenosylcobalamin biosynthesis protein CobU
LLGMAHPF_00985	CDS	315				hypothetical protein
LLGMAHPF_00986	CDS	627				hypothetical protein
LLGMAHPF_00987	CDS	627	lptC			Lipopolysaccharide export system protein LptC
LLGMAHPF_00988	CDS	1536	metG	6.1.1.10	COG0143	Methionine--tRNA ligase
LLGMAHPF_00989	CDS	1185	rnr_2	3.1.13.1		Ribonuclease R
LLGMAHPF_00990	CDS	222				hypothetical protein
LLGMAHPF_00991	CDS	195	rpmG2			50S ribosomal protein L33 2
LLGMAHPF_00992	CDS	2466	pheT	6.1.1.20		Phenylalanine--tRNA ligase beta subunit
LLGMAHPF_00993	CDS	249				hypothetical protein
LLGMAHPF_00994	CDS	1014				hypothetical protein
LLGMAHPF_00995	CDS	177				hypothetical protein
LLGMAHPF_00996	CDS	831				hypothetical protein
LLGMAHPF_00997	CDS	393				hypothetical protein
LLGMAHPF_00998	CDS	222				hypothetical protein
LLGMAHPF_00999	CDS	3561	metH	2.1.1.13	COG0646	Methionine synthase
LLGMAHPF_01000	CDS	915	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
LLGMAHPF_01001	CDS	3738	cobN_2	6.6.1.2		Aerobic cobaltochelatase subunit CobN
LLGMAHPF_01002	CDS	648				hypothetical protein
LLGMAHPF_01003	CDS	600				hypothetical protein
LLGMAHPF_01004	CDS	1971	uvrC		COG0322	UvrABC system protein C
LLGMAHPF_01005	CDS	522		1.5.1.-		putative flavin reductase
LLGMAHPF_01006	CDS	480	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
LLGMAHPF_01007	CDS	1230				hypothetical protein
LLGMAHPF_01008	CDS	648				hypothetical protein
LLGMAHPF_01009	CDS	1173	iscS_2	2.8.1.7	COG1104	Cysteine desulfurase IscS
LLGMAHPF_01010	CDS	861	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
LLGMAHPF_01011	CDS	2577	leuS	6.1.1.4		Leucine--tRNA ligase
LLGMAHPF_01012	CDS	1581	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
LLGMAHPF_01013	CDS	657	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
LLGMAHPF_01014	CDS	1056	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
LLGMAHPF_01015	CDS	1734	ribBA	3.5.4.25		Riboflavin biosynthesis protein RibBA
LLGMAHPF_01016	CDS	438	ppiB	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase B
LLGMAHPF_01017	CDS	393				hypothetical protein
LLGMAHPF_01018	CDS	975	dnaJ_3		COG0484	Chaperone protein DnaJ
LLGMAHPF_01019	CDS	1998	dnaK2_1			Chaperone protein dnaK2
LLGMAHPF_01020	tRNA	87				tRNA-Ser(gga)
LLGMAHPF_01021	CDS	375				hypothetical protein
LLGMAHPF_01022	CDS	849	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
LLGMAHPF_01023	CDS	1152	hisZ		COG3705	ATP phosphoribosyltransferase regulatory subunit
LLGMAHPF_01024	CDS	1905	htpG			Chaperone protein HtpG
LLGMAHPF_01025	CDS	237	rpmB		COG0227	50S ribosomal protein L28
LLGMAHPF_01026	CDS	534		1.11.1.15		Peroxiredoxin
LLGMAHPF_01027	CDS	303				hypothetical protein
LLGMAHPF_01028	CDS	336				hypothetical protein
LLGMAHPF_01029	CDS	264	psaK1			Photosystem I reaction center subunit PsaK 1
LLGMAHPF_01030	CDS	1914	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
LLGMAHPF_01031	CDS	1542	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
LLGMAHPF_01032	CDS	483	scpB			Segregation and condensation protein B
LLGMAHPF_01033	CDS	279				hypothetical protein
LLGMAHPF_01034	CDS	330				hypothetical protein
LLGMAHPF_01035	CDS	1791	pyk	2.7.1.40		Pyruvate kinase
LLGMAHPF_01036	CDS	1230	macB	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
LLGMAHPF_01037	CDS	573				hypothetical protein
LLGMAHPF_01038	CDS	459	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
LLGMAHPF_01039	CDS	1503	era_1			GTPase Era
LLGMAHPF_01040	CDS	207				hypothetical protein
LLGMAHPF_01041	CDS	1383	hdc	4.1.1.22		Histidine decarboxylase
LLGMAHPF_01042	CDS	528	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
LLGMAHPF_01043	CDS	1185	pucG	2.6.1.112	COG0075	(S)-ureidoglycine--glyoxylate transaminase
LLGMAHPF_01044	CDS	1422	glnA	6.3.1.2		Glutamine synthetase
LLGMAHPF_01045	CDS	1056	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
LLGMAHPF_01046	CDS	255				hypothetical protein
LLGMAHPF_01047	CDS	444				hypothetical protein
LLGMAHPF_01048	CDS	735				hypothetical protein
LLGMAHPF_01049	CDS	1053	selU	2.5.1.-	COG2603	tRNA 2-selenouridine synthase
LLGMAHPF_01050	CDS	354				Photosystem II reaction center Psb28 protein
LLGMAHPF_01051	CDS	1044				hypothetical protein
LLGMAHPF_01052	CDS	183				hypothetical protein
LLGMAHPF_01053	CDS	918	secF			Protein translocase subunit SecF
LLGMAHPF_01054	CDS	1461	secD		COG0342	Protein translocase subunit SecD
LLGMAHPF_01055	CDS	984	bfmBAB	1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
LLGMAHPF_01056	CDS	318				hypothetical protein
LLGMAHPF_01057	CDS	939	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
LLGMAHPF_01058	CDS	834	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
LLGMAHPF_01059	CDS	354				hypothetical protein
LLGMAHPF_01060	CDS	414	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
LLGMAHPF_01061	CDS	387	umuD	3.4.21.-	COG1974	Protein UmuD
LLGMAHPF_01062	CDS	1293	umuC		COG0389	Protein UmuC
LLGMAHPF_01063	CDS	456				hypothetical protein
LLGMAHPF_01064	CDS	2037	dnaG	2.7.7.-	COG0358	DNA primase
LLGMAHPF_01065	CDS	888	cntI			Pseudopaline exporter CntI
LLGMAHPF_01066	CDS	360				hypothetical protein
LLGMAHPF_01067	CDS	660	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
LLGMAHPF_01068	CDS	270	rpsO			30S ribosomal protein S15
LLGMAHPF_01069	CDS	447				hypothetical protein
LLGMAHPF_01070	CDS	3498	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
LLGMAHPF_01071	CDS	1455	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
LLGMAHPF_01072	CDS	243				hypothetical protein
LLGMAHPF_01073	CDS	1287	rlmB	2.1.1.185		23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
LLGMAHPF_01074	CDS	393	mrnC	3.1.26.-	COG1939	Mini-ribonuclease 3
LLGMAHPF_01075	CDS	1143	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
LLGMAHPF_01076	CDS	1032	trpD2	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase 2
LLGMAHPF_01077	CDS	297				hypothetical protein
LLGMAHPF_01078	CDS	1746	yheI	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
LLGMAHPF_01079	CDS	729	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
LLGMAHPF_01080	tRNA	74				tRNA-Pro(ggg)
LLGMAHPF_01081	CDS	159				hypothetical protein
LLGMAHPF_01082	CDS	801	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
LLGMAHPF_01083	CDS	279				hypothetical protein
LLGMAHPF_01084	CDS	135				hypothetical protein
LLGMAHPF_01085	CDS	126				hypothetical protein
LLGMAHPF_01086	CDS	228				hypothetical protein
LLGMAHPF_01087	CDS	957				hypothetical protein
LLGMAHPF_01088	CDS	804	gpgP	3.1.3.70	COG3769	Glucosyl-3-phosphoglycerate/mannosyl-3-phosphoglycerate phosphatase
LLGMAHPF_01089	CDS	1758		2.4.1.352	COG0366	Glucosylglycerate phosphorylase
LLGMAHPF_01090	CDS	1227	gpgS	2.4.1.266	COG0463	Glucosyl-3-phosphoglycerate synthase
LLGMAHPF_01091	CDS	1710	ureC	3.5.1.5		Urease subunit alpha
LLGMAHPF_01092	CDS	321	ureB	3.5.1.5		Urease subunit beta
LLGMAHPF_01093	CDS	303	ureA	3.5.1.5		Urease subunit gamma
LLGMAHPF_01094	CDS	894	ureD			Urease accessory protein UreD
LLGMAHPF_01095	CDS	465	ureE			Urease accessory protein UreE
LLGMAHPF_01096	CDS	687	ureF			Urease accessory protein UreF
LLGMAHPF_01097	CDS	606	ureG		COG0378	Urease accessory protein UreG
LLGMAHPF_01098	CDS	1320	amiC			Aliphatic amidase expression-regulating protein
LLGMAHPF_01099	CDS	1149	livH		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
LLGMAHPF_01100	CDS	1137				hypothetical protein
LLGMAHPF_01101	CDS	756	tcyN	3.6.3.-	COG1126	L-cystine import ATP-binding protein TcyN
LLGMAHPF_01102	CDS	711	livF		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
LLGMAHPF_01103	CDS	180				hypothetical protein
LLGMAHPF_01104	CDS	117				hypothetical protein
LLGMAHPF_01105	CDS	171				hypothetical protein
LLGMAHPF_01106	CDS	174				hypothetical protein
LLGMAHPF_01107	CDS	396				hypothetical protein
